feature,decision,reasoning
loan_amnt,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
int_rate,leave as-is (bounded),"field has a real, known plausible range -- extreme-looking values within it are genuine, not errors"
annual_inc,leave as-is (log-handled),log1p transform already validated (notebook 09) to reduce this field's skew and improve target correlation
dti,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
fico_range_low,leave as-is (log-handled),log1p transform already validated (notebook 09) to reduce this field's skew and improve target correlation
delinq_2yrs,leave as-is,"IQR flags nearly every nonzero value on this sparse count field -- a method artifact, not a real outlier"
inq_last_6mths,leave as-is (log-handled),log1p transform already validated (notebook 09) to reduce this field's skew and improve target correlation
open_acc,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
pub_rec,leave as-is,"IQR flags nearly every nonzero value on this sparse count field -- a method artifact, not a real outlier"
revol_bal,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
revol_util,leave as-is (bounded),"field has a real, known plausible range -- extreme-looking values within it are genuine, not errors"
total_acc,leave as-is (log-handled),log1p transform already validated (notebook 09) to reduce this field's skew and improve target correlation
mort_acc,leave as-is (log-handled),log1p transform already validated (notebook 09) to reduce this field's skew and improve target correlation
pub_rec_bankruptcies,leave as-is,"IQR flags nearly every nonzero value on this sparse count field -- a method artifact, not a real outlier"
tot_cur_bal,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
avg_cur_bal,n/a -- dropped,dropped entirely in the cleaning rebuild for multicollinearity (notebook 09)
bc_open_to_buy,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
acc_open_past_24mths,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
mo_sin_old_rev_tl_op,leave as-is (log-handled),log1p transform already validated (notebook 09) to reduce this field's skew and improve target correlation
num_actv_rev_tl,cap at 1st/99th percentile,"unbounded dollar/count field, log transform did not improve its target correlation (notebook 09) -- winsorizing limits leverage from extreme values without discarding rows"
